ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"45.80.111.136","elite","AS209242","DE","Cloudflare London, LLC","63","CloudKleyer Frankfurt GmbH","80","http","34789","100","24","24","2025-12-11T15:31:41.489Z","3877"
"172.64.91.163","elite","AS13335","CA","Cloudflare, Inc.","4","Cloudflare, Inc.","80","http","34789","100","26","26","2025-12-11T15:31:41.488Z","4224"
"203.24.102.152","elite","AS209242","VG","Cloudflare London, LLC","7","Anaga Consulting Limited","80","socks4","1","100","11013","11016","2025-12-11T15:31:41.483Z","3175"
"168.181.121.195","elite","AS264847","HN","Enred S.de.R.L","134","Enred S.de.R.L","57010","socks4","1","98","3019","3078","2025-12-11T15:31:41.484Z","4222"
"104.24.187.76","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","34715","100","21","21","2025-12-11T15:31:41.565Z","3310"
"197.234.13.62","elite","AS36902","SC","Intelvision","125","Intelvision Ltd","4145","socks4","1","99","11034","11123","2025-12-11T15:31:41.484Z","2783"
"111.81.45.189","elite","AS17421","TW","EMOME","286","Chunghwa Telecom Co. Ltd.","3128","socks4","1","62","1061","1699","2025-12-11T15:31:07.668Z","1786"
"213.25.70.1","elite","AS5617","PL","Orange Polska Spolka Akcyjna","26","Przedsiebiorstwo Telekomunikacyjno Informatyczne NetCom Marcin Biegaj","3629","socks4","1","100","1918","1920","2025-12-11T15:31:07.666Z","4296"
"222.129.33.169","elite","AS4808","CN","China Unicom Beijing Province Network","185","N/A","57114","socks4","1","87","9623","11083","2025-12-11T15:31:07.491Z","3199"
"115.84.248.140","elite","AS9658","PH","Eastern Telecommunications Philippines, Inc.","330","Eastern Telecommunications Philippines, Inc","8080","socks4","1","97","10729","11035","2025-12-11T15:31:07.595Z","2879"
"107.180.103.214","elite","AS398101","US","GoDaddy.com, LLC","142","GoDaddy.com, LLC","45870","socks4","1","100","4004","4009","2025-12-11T15:31:07.670Z","4102"
"190.110.223.150","elite","AS22724","EC","Puntonet S.A.","171","Puntonet S.A","5678","socks4","1","19","2093","11024","2025-12-11T15:31:07.672Z","4892"
"172.105.174.243","elite","AS63949","AU","Akamai Technologies","310","Linode","3128","socks5","1","25","2782","11128","2025-12-11T15:31:07.664Z","3186"
"194.152.44.176","elite","AS209242","UA","Cloudflare London, LLC","10","Demenin B.V","80","http","35589","100","24","24","2025-12-11T15:31:07.588Z","4601"
"188.114.96.123","elite","AS13335","CA","Cloudflare, Inc.","7","CloudFlare, Inc.","80","http","35522","100","24","24","2025-12-11T15:31:07.591Z","3463"
"148.66.142.19","elite","AS26496","SG","GoDaddy.com, LLC","239","Godaddy.com","61481","socks5","1","100","11060","11097","2025-12-11T15:31:07.866Z","3397"
"139.59.238.215","elite","AS14061","SG","DIGITALOCEAN","256","DigitalOcean, LLC","3128","socks4","1","98","515","525","2025-12-11T15:31:07.665Z","3389"
"75.119.201.156","elite","AS26347","US","New Dream Network","145","DreamHost","15745","socks4","1","82","9157","11144","2025-12-11T15:31:07.667Z","1099"
"189.201.187.3","elite","AS32098","MX","Transtelco Inc","158","IP Matrix, S.A. de C.V","4145","socks4","1","99","4341","4388","2025-12-11T15:31:07.488Z","4998"
"185.193.31.175","elite","AS209242","GB","Cloudflare London, LLC","10","F3 Markets N.V","80","http","35596","100","24","24","2025-12-11T15:31:07.577Z","3393"
"175.155.181.10","elite","AS4837","CN","China Unicom Sichuan Province Network","193","N/A","24388","socks5","1","68","7475","11002","2025-12-11T15:31:07.491Z","763"
"185.193.30.194","elite","AS209242","GB","Cloudflare London, LLC","7","F3 Markets N.V","80","http","35597","100","22","22","2025-12-11T15:31:07.576Z","3106"
"45.131.6.196","elite","AS209242","BZ","Cloudflare London, LLC","7","Inter Networks","80","http","35592","100","22","22","2025-12-11T15:31:07.584Z","4598"
"104.17.110.11","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","80","http","35609","100","23","23","2025-12-11T15:31:07.563Z","1193"
"103.199.156.145","elite","AS134318","IN","city broadband network pvt.ltd","175","N/A","40049","socks4","1","99","3706","3738","2025-12-11T15:31:07.667Z","3494"
"104.16.147.76","elite","AS13335","CA","Cloudflare, Inc.","11","Cloudflare, Inc.","80","http","35714","100","63","63","2025-12-11T15:31:07.492Z","3023"
"45.4.246.1","elite","AS266065","BR","VANGUARDA TELECOMUNICAÇÕES LTDA ME","192","Vanguarda Telecomunicacoes Ltda ME","8080","socks5","1","95","3982","4176","2025-12-11T15:31:07.666Z","698"
"2.137.22.252","elite","AS3352","ES","RIMA (Red IP Multi Acceso)","53","N/A","3352","socks4","1","98","2543","2590","2025-12-11T15:31:07.489Z","5096"
"148.66.130.187","elite","AS26496","SG","GoDaddy.com, LLC","246","Godaddy.com","16320","socks4","1","99","4209","4265","2025-12-11T15:31:07.667Z","2987"
"80.78.18.54","elite","AS39287","SE","ab stract","64","ab stract","80","http","35522","100","24","24","2025-12-11T15:31:07.592Z","4898"
"140.248.133.95","elite","AS54113","US","Fastly, Inc.","3","Fastly, Inc.","80","socks5","1","100","4170","4171","2025-12-11T15:31:07.487Z","3800"
"31.181.183.23","elite","AS12389","RU","OJSC Rostelecom Macroregional Branch South","76","OJSC Rostelecom Macroregional Branch South","7788","socks5","1","66","2759","4183","2025-12-11T15:31:07.663Z","4175"
"170.114.45.5","elite","AS209242","US","Cloudflare London, LLC","7","Zoom Video Communications, Inc","80","http","35714","100","24","24","2025-12-11T15:31:07.493Z","4612"
"115.17.193.157","elite","AS4766","KR","Korea Telecom","283","Dongraejisa(ADSLB&A)","3128","socks5","1","100","4308","4322","2025-12-11T15:31:07.668Z","3893"
